 173,Montana,=  71.29 ,16,12,70.01( 241),,0,2,|,,0   2,| ,71.17  170 | ,71.19,176
 174,Nicholls State,=  71.25 ,17,11,68.87( 280),,0,0,|,,0   1,| ,71.43  166 | ,70.85,181
 175,St. Bonaventure,=  71.24 ,15,15,71.66( 180),,0,1,|,,0   1,| ,71.69  162 | ,70.56,187
 176,Tulane,=  71.14 ,13,17,73.42( 129),,0,3,|,,0   3,| ,70.68  178 | ,71.37,171
 177,Troy,=  71.11 ,18,13,70.03( 239),,0,0,|,,0   1,| ,71.94  157 | ,70.06,194
 178,Ohio University,=  71.09 ,15,17,71.89( 175),,0,2,|,,0   2,| ,69.83  193 | ,72.12,159
 179,Boston University,=  71.00 ,17,13,69.03( 273),,0,0,|,,0   1,| ,70.51  182 | ,71.27,173
 180,Georgia,=  70.97 ,12,20,75.08(  85),,0,2,|,,1   6,| ,71.66  163 | ,70.04,195
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 181,Louisiana Tech,=  70.90 ,15,17,71.22( 197),,0,1,|,,0   3,| ,70.16  188 | ,71.42,170
 182,DePaul,=  70.85 ,9,24,78.66(  37),,0,10,|,,0  13,| ,70.74  177 | ,70.73,184
 183,Liberty,=  70.82 ,19,12,68.90( 278),,0,1,|,,0   1,| ,72.20  153 | ,69.18,210
 184,Manhattan,=  70.76 ,16,14,70.02( 240),,0,0,|,,0   0,| ,71.27  168 | ,70.03,196
 185,Austin Peay,=  70.70 ,17,14,70.48( 222),,0,1,|,,0   1,| ,70.48  183 | ,70.7,185
 186,Holy Cross,=  70.41 ,18,14,68.24( 302),,0,0,|,,0   0,| ,70.09  190 | ,70.51,189
 187,George Washington,=  70.38 ,10,18,73.73( 116),,0,1,|,,0   2,| ,69.67  197 | ,70.87,180
 188,Texas-San Antonio,=  70.33 ,16,13,69.81( 253),,0,1,|,,0   1,| ,70.54  181 | ,69.91,198
 189,Idaho State,=  70.29 ,12,19,73.60( 120),,0,1,|,,1   5,| ,69.67  196 | ,70.68,186
 190,Colorado State,=  70.26 ,9,21,75.55(  74),,0,0,|,,0   7,| ,68.98  205 | ,71.3,172
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 191,Citadel,=  70.18 ,18,13,68.48( 295),,0,1,|,,0   1,| ,70.84  173 | ,69.27,208
 192,Indiana,=  70.01 ,5,25,81.16(   3),,0,7,|,,0  18,| ,70.12  189 | ,69.67,204
